article,true_label,predicted_label(Chat_gpt),Soft_score,Hard_score
" Indore Fire accident: Big disclosure in Indore fire, no short circuit, one-sided love set fire, 7 people died",[],[],1.0,1
"12 active cases since March 10; CMO ordered to increase sampling. Corona cases started increasing again in Karnal - Dainik Bhaskar | Corona cases seem to be increasing once again in Haryana's Karnal district. This week, the cases have reached 12, touching the double figure again. After March 10, 5 new positive cases have also been found simultaneously. So far, samples of 778640 persons have been taken in the district and 575 samples were taken in the last 24 hours. Out of the total samples taken, 48184 positive cases were reported so far, out of which 47575 patients have been cured. Corona cases seem to be increasing once again in Haryana's Karnal district.","[{'Disease': 'Corona', 'Location': 'Karnal', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '48184'}, {'Disease': 'Corona', 'Location': 'Karnal', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '5'}]","[{""Disease"": ""Corona"", ""Location"": ""Karnal"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 12}, 
{""Disease"": ""Corona"", ""Location"": ""Karnal"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 5}, 
{""Disease"": ""Corona"", ""Location"": ""Karnal"", ""Incident"": ""case"", ""Incident_Type"": ""total"", ""Number"": 48184}]",2.0,2
 Mahasamund Crime Three murders for just two thousand rupees Son Udit turns out to be the killer of parents and grandmother. Udit woke up his sleeping father Prabhat Bhoi on the midnight of May 7-8 and demanded two thousand rupees.,[],[],1.0,1
"Cg Corona Update: Corona slows down in Chhattisgarh, 27 new cases surfaced, In Chhattisgarh, there has been a significant decline in the number of corona. For the last few days, very few corona patients are coming forward.","[{'Disease': 'Corona', 'Location': 'Chhattisgarh', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '27'}]","[ 
{
'Disease': 'Corona',
'Location': 'Chhattisgarh',
'Incident': 'case',
'Incident_Type': 'new',
'Number': 27
}
]",1.0,1
"So far 1655 animals have died due to lumpy skin disease in Nagaur. Lumpy skin disease continues to wreak havoc in the district, 1655 animals have died so far. Patrika News | Cattle herders are not getting enough help from the Animal Husbandry Department - Many cattle are dying, voluntary organizations are engaged in the service of cattle.Nagaur News | Undefined News | Patrika News","[{'Disease': 'Lumpy skin disease', 'Location': 'Nagaur', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '1655'}]","[{
'Disease': 'Lumpy skin disease',
'Location': 'Nagaur',
'Incident': 'death',
'Incident_Type': 'total',
'Number': 1655
}]",1.0,1
"Delhi covid 19 update decline in active cases - 400 new cases of corona in Delhi, one patient died; In Delhi, 400 cases of corona were found in 24 hours, but there has been a decline in active cases. The number of active patients has come down to 1960. A week ago their number was 2507. That is, there has been a decrease of up to 21 percent.","[{'Disease': 'Corona', 'Location': 'Delhi', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '400'}, {'Disease': 'Corona', 'Location': 'Delhi', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '1960'}]","[{
""Disease"": ""COVID-19"",
""Location"": ""Delhi"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 400
},
{
""Disease"": ""COVID-19"",
""Location"": ""Delhi"",
""Incident"": ""death"",
""Incident_Type"": ""new"",
""Number"": 1
}, 
{
""Disease"": ""COVID-19"",
""Location"": ""Delhi"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 1960
}]",1.6,0
"There have been 400 new cases of COVID-19 in Delhi, and one patient has died. There is also a bit of relief. In the past 24 hours, Delhi has reported 400 new COVID-19 cases, yet there has been a decrease in active cases. The number of active patients has now reduced to 1960, whereas a week ago, their count was 2507. This signifies a decrease of up to 21 percent.","[{'Disease': 'COVID-19', 'Location': 'Delhi', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '400'}, {'Disease': 'COVID-19', 'Location': 'Delhi', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '1'}, {'Disease': 'COVID-19', 'Location': 'Delhi ', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '1960'}]","[
  {
    ""Disease"": ""COVID-19"",
    ""Location"": ""Delhi"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 400
  },
  {
    ""Disease"": ""COVID-19"",
    ""Location"": ""Delhi"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 1
  },
  {
    ""Disease"": ""COVID-19"",
    ""Location"": ""Delhi"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""active"",
    ""Number"": 1960
  }
]",2.8,2
24 new cases of corona infection - Kaithal News | 24 new cases of corona infection,"[{'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '24'}]","[{'Disease': 'corona', 'Location': 'Kaithal', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 24}]",0.8,0
24 new cases of COVID-19 infection - Kaithal News ,"[{'Disease': 'COVID-19', 'Location': '', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '24'}]","[{""Disease"": ""COVID-19"", ""Location"": ""Kaithal"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 24}]",0.8,0
"aes and Muzaffarpur bihar: Bihar Encephalitis death: 5-year-old Kundan died of fever in Muzaffarpur. Muzaffarpur:The number of Encephalitis/Chamki Fever (AES) patients is increasing with summer. Five suspects were admitted on Tuesday, out of which AES has been confirmed in one child. Five-year-old Kundan Kumar, who was suffering from Encephalitis , died on Wednesday. The child was a resident of Ekraha Sarai in Vaishali district. Kundan was being treated under AES protocol in the Piku ward of KDKM Hospital. District Information and Public Relations Officer Kamal Singh said that Kundan was being treated after being admitted to the hospital. During treatment, Kundan died of AES. This is the second death due to AES in Muzaffarpur itself. At the same time, 10 children have recovered and gone back to their homes. AES has been confirmed in 12 children so far this year.","[{'Disease': 'AES', 'Location': 'Bihar', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '12'}]","[
{""Disease"": ""Encephalitis"", ""Location"": ""Muzaffarpur"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": 5},
{""Disease"": ""Encephalitis"", ""Location"": ""Muzaffarpur"", ""Incident"": ""death"", ""Incident_Type"": ""new"", ""Number"": 1},
{""Disease"": ""Encephalitis"", ""Location"": ""Muzaffarpur"", ""Incident"": ""case"", ""Incident_Type"": ""total"", ""Number"": 12},
{""Disease"": ""Encephalitis"", ""Location"": ""Muzaffarpur"", ""Incident"": ""death"", ""Incident_Type"": ""total"", ""Number"": 2},
{""Disease"": ""Encephalitis"", ""Location"": ""Muzaffarpur"", ""Incident"": ""case"", ""Incident_Type"": ""recovered"", ""Number"": 10}
]",0.4,0
"AES and Muzaffarpur, Bihar: Encephalitis Death of a 5-year-old in Muzaffarpur. The number of Acute Encephalitis Syndrome (AES) cases is rising with the onset of summer. On Tuesday, five suspects were admitted, among whom AES was confirmed in one child. Kundan Kumar, a five-year-old suffering from AES, passed away on Wednesday. He was a resident of Ekraha Sarai in the Vaishali district. Kundan was undergoing treatment under the AES protocol in the Piku ward of KDKM Hospital. Kamal Singh, the District Information and Public Relations Officer, stated that Kundan was receiving treatment after his admission to the hospital, but he succumbed to AES during the course of treatment. This marks the second AES-related fatality in Muzaffarpur. Additionally, 10 children have recovered and returned home. AES has been confirmed in 12 children thus far this year.","[{'Disease': 'Acute Encephalitis Syndrome', 'Location': 'Muzaffarpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '1'}, {'Disease': 'Acute Encephalitis Syndrome', 'Location': 'Muzaffarpur', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '1'}, {'Disease': 'Acute Encephalitis Syndrome', 'Location': 'Muzaffarpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '12'}, {'Disease': 'Acute Encephalitis Syndrome', 'Location': 'Muzzaffarpur', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '2'}]","[
{
""Disease"": ""AES"",
""Location"": ""Muzaffarpur, Bihar"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 5
},
{
""Disease"": ""AES"",
""Location"": ""Muzaffarpur, Bihar"",
""Incident"": ""death"",
""Incident_Type"": ""new"",
""Number"": 1
},
{
""Disease"": ""AES"",
""Location"": ""Muzaffarpur, Bihar"",
""Incident"": ""case"",
""Incident_Type"": ""total"",
""Number"": 12
},
{
""Disease"": ""AES"",
""Location"": ""Muzaffarpur, Bihar"",
""Incident"": ""death"",
""Incident_Type"": ""total"",
""Number"": 2
},
{
""Disease"": ""AES"",
""Location"": ""Muzaffarpur, Bihar"",
""Incident"": ""recovery"",
""Incident_Type"": ""new"",
""Number"": 10
}
]",2.8000000000000003,0
 Accident In Kushinagar Tragic Death Of Two People Due To Overturning Of Tractor - Amar Ujala Hindi News Live | A heart-wrenching incident has come to light in Kushinagar district. Here two people died due to overturning of tractor.,[],"The given news article does not mention any disease. Therefore, no events can be extracted according to the given guidelines.",0.0,0
"Accident in Kushinagar: Tragic Death of Two People Due to Overturning of Tractor, Tractor Removed with the Help of JCB - Amar Ujala Hindi News Live | A heart-wrenching incident has come to light in Kushinagar district. Here, two people died due to the overturning of a tractor.",[],[],1.0,1
"Mumbai News Live Updates: Jayesh Pujari sent from Karnataka jail to Nagpur for threatening Nitin Gadkar | Maharashtra Latest News: Seasonal Influenza patients are increasing rapidly in Pune district amidst increasing cases of Covid-19. H3N2 influenza infection is increasing continuously in the district and two patients have died due to this. The dead include a 67-year-old man and a 37-year-old woman. Both were undergoing treatment in a private hospital. The health department has appealed to the people that patients with flu-like symptoms should be treated without delay. One should isolate oneself in case of cold, cough and fever. H3N2 virus is spreading in the state for the past few weeks, but there is no need to panic. People should avoid going to crowded areas, as well as wearing masks and maintaining social distancing can prevent influenza. , State News | Undefined News | Patrika News",[],"[{'Disease': 'Covid-19', 'Location': 'Pune district', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 'Not given'},
 {'Disease': 'H3N2 influenza', 'Location': 'Pune district', 'Incident': 'case', 'Incident_Type': 'new', 'Number': 'Not given'},
 {'Disease': 'H3N2 influenza', 'Location': 'Pune district', 'Incident': 'death', 'Incident_Type': 'new', 'Number': 2}]",0.0,0
"14 New Corona Infected Case Found in Rewari - Rewari News | In the third week of April, the cases of corona infection have gained momentum. The increasing number of cases are increasing the concern. Wednesday","[{'Disease': 'Corona', 'Location': 'Rewari', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '14'}]","[{
'Disease': 'Corona',
'Location': 'Rewari',
'Incident': 'case',
'Incident_Type': 'new',
'Number': 14
}]",1.0,1
" 906 new cases of Covid-19 were reported in India, the number of patients under treatment decreased to 10,179. India In Hindi | According to the updated data released by the Union Health Ministry at eight o'clock on Thursday morning, after the death of 20 more patients from Covid-19, the total number of people who lost their lives due to corona virus infection in the country has increased to 5,31,814.","[{'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '906'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '20'}, {'Disease': 'Corona', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'total', 'Number': '531814'}]","[
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": 906
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""under treatment"",
    ""Number"": 10179
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 20
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""India"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""total"",
    ""Number"": 531814
  }
]",2.4000000000000004,0
"Heart Problems, Pneumonia, Asthma, Claim 42 Percent Of Total Deaths In India In 2020; Covid 19 Percent - Report: Not Corona in 2020, Most of the people in the country lost their lives due to these diseases, this report will surprise you - Amar Ujala Hindi News Live | The third leading cause, accounting for 8.9 per cent of the total clinically certified deaths, was classified under the code for specific purposes: COVID-19.",[],"[ 
{ ""Disease"" : ""Heart Problems"", 
""Location"" : ""India"", 
""Incident"" : ""death"", 
""Incident_Type"" : ""total"", 
""Number"" : ""42 percent"" },

{ ""Disease"" : ""Pneumonia"", 
""Location"" : ""India"", 
""Incident"" : ""death"", 
""Incident_Type"" : ""total"", 
""Number"" : ""42 percent"" },

{ ""Disease"" : ""Asthma"", 
""Location"" : ""India"", 
""Incident"" : ""death"", 
""Incident_Type"" : ""total"", 
""Number"" : ""42 percent"" },

{ ""Disease"" : ""COVID-19"", 
""Location"" : ""India"", 
""Incident"" : ""death"", 
""Incident_Type"" : ""total"", 
""Number"" : ""8.9 percent"" }
]
",0.0,0
"Corona In Kanpur: Rapidly Increasing Number Of Corona Infected, 41 New Infected Found, Active Case Crosses 200  after two and half months.  The attack of Corona in Kanpur is gradually intensifying .","[{'Disease': 'Corona', 'Location': 'Kanpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '41'}, {'Disease': 'Corona', 'Location': 'Kanpur', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'total', 'Number': '200'}]","[{
'Disease': 'Corona',
'Location': 'Kanpur',
'Incident': 'case',
'Incident_Type': 'new',
'Number': 41
}, 
{
'Disease': 'Corona',
'Location': 'Kanpur',
'Incident': 'case',
'Incident_Type': 'total',
'Number': 200
}]",2.0,2
"Mumbai News Live Updates: Jayesh Pujari sent from Karnataka jail to Nagpur for threatening Nitin Gadkari. mumbai-news-live-updates-maharashtra-breaking-news-today-28-march-2023-shiv-sena-uddhav-thackeray-eknath-shinde-bjp-devendra-fadnavis-mumbai-pune-nagpur-news | Patrika News | Maharashtra Latest News: Seasonal Influenza patients are increasing rapidly in Pune district amidst increasing cases of Covid-19. H3N2 influenza infection is increasing continuously in the district and two patients have died due to this. The dead include a 67-year-old man and a 37-year-old woman. Both were undergoing treatment in a private hospital. The health department has appealed to the people that patients with flu-like symptoms should be treated without delay. One should isolate oneself in case of cold, cough and fever. H3N2 virus is spreading in the state for the past few weeks, but there is no need to panic. People should avoid going to crowded areas, as well as wearing masks and maintaining social distancing can prevent influenza. State News | Undefined News | Patrika News","[{'Disease': 'H3N2 Influenza', 'Location': 'Pune', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': ''}, {'Disease': 'H3N2 Influenza ', 'Location': 'Pune ', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '2'}, {'Disease': 'COVID-19', 'Location': 'Pune', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': ''}]","[
  {
    ""Disease"": ""H3N2 influenza"",
    ""Location"": ""Pune district"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": ""not specified""
  },
  {
    ""Disease"": ""H3N2 influenza"",
    ""Location"": ""Pune district"",
    ""Incident"": ""death"",
    ""Incident_Type"": ""new"",
    ""Number"": 2
  },
  {
    ""Disease"": ""Covid-19"",
    ""Location"": ""Pune district"",
    ""Incident"": ""case"",
    ""Incident_Type"": ""new"",
    ""Number"": ""not specified""
  }
]",2.6,1
"Top Hindi News Live Updates: UP Farmers Protest, Corona Cases Update, Bihar, BJP - TOP HINDI NEWS LIVE UPDATES: Ashok Gehlot Makes Significant Announcement Regarding the Death of Dalit Student. India in Hindi | On the other hand, speaking about the coronavirus, there has been a 39.1% surge in new COVID-19 cases in India. In the last 24 hours, 12,608 new cases have been reported, resulting in 72 deaths.","[{'Disease': 'COVID-19', 'Location': 'India', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new ', 'Number': '12,608'}, {'Disease': 'COVID-19', 'Location': 'India', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new ', 'Number': '72'}]","[{""Disease"": ""COVID-19"", ""Location"": ""India"", ""Incident"": ""case"", ""Incident_Type"": ""new"", ""Number"": ""12608""},
{""Disease"": ""COVID-19"", ""Location"": ""India"", ""Incident"": ""death"", ""Incident_Type"": ""total"", ""Number"": ""72""}]",1.8,1
"Chhattisgarh COVID-19 Updates News: 104 Infected Patients Found, 2 Deaths Reported. A Decrease in the Number of COVID-19 Patients in Chhattisgarh. Out of 7,845 samples investigated in the state on Tuesday, only 104 people have tested positive for COVID-19. The state's positivity rate stands at 1.33 percent. Chhattisgarh Corona Update News","[{'Disease': 'COVID-19', 'Location': 'Chhattisgarh', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new ', 'Number': '104'}, {'Disease': 'COVID-19', 'Location': 'Chhattisgarh', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new ', 'Number': '2'}]","[
{
""Disease"": ""COVID-19"",
""Location"": ""Chhattisgarh"",
""Incident"": ""case"",
""Incident_Type"": ""new"",
""Number"": 104
},
{
""Disease"": ""COVID-19"",
""Location"": ""Chhattisgarh"",
""Incident"": ""death"",
""Incident_Type"": ""new"",
""Number"": 2
}
]",2.0,2
"Weather Alert: Highway closed due to landslides in Himachal-Kashmir due to heavy rains, heavy rain alert in these states. Weather Alert: Rain became a problem! Highway closed due to landslide in Himachal-Kashmir, deaths in Uttarakhand and Mumbai, heavy rain alert in these states. Patrika News | Weather Alert: Rain is wreaking havoc in many states of the country. Landslide incidents are coming to the fore at many places. The water level of rivers and drains has increased. Roads have become rivers due to heavy rains. Four people have lost their lives in Maharashtra and Himachal due to heavy rains. National News News | Undefined News | Patrika News.",[],"The provided text does not indicate any diseases or illnesses. Therefore, no event can be extracted based on the given instructions. The result is an empty list.",0.0,0
"Two people died after drinking contaminated water, 174 people fell ill -PTI Rajasthan story. Jaipur, Dec 7 (PTI) Two people, including a 12-year-old child, have died while 174 others have fallen ill due to vomiting and diarrhea after allegedly drinking contaminated water in Kotwali police station area of Karauli district of Rajasthan. ","[{'Disease': 'Diarrhea', 'Location': 'Rajasthan', 'Incident (case or death)': 'case', 'Incident Type (new or total)': 'new', 'Number': '174'}, {'Disease': 'Diarrhea', 'Location': 'Rajasthan', 'Incident (case or death)': 'death', 'Incident Type (new or total)': 'new', 'Number': '2'}]","[{'Disease': 'Vomiting and Diarrhea', 'Location': 'Kotwali police station area of Karauli district of Rajasthan', 'Incident': 'death', 'Incident_Type': 'total', 'Number': 2},
 {'Disease': 'Vomiting and Diarrhea', 'Location': 'Kotwali police station area of Karauli district of Rajasthan', 'Incident': 'case', 'Incident_Type': 'total', 'Number': 174}]",1.6,0
