value,variants
Srinagar,Srinagar |
Udhampur,Udhampur |Udhampur |
Udhampur,Udhampur |
Chenani,Chenani |
Ram Nagar,Ram Nagar |
Kishtwar,Kishtwar |Kishtwar |
Kishtwar,Kishtwar |
Dachhan,Dachhan |
Ramban,Ramban |Ramban |
Ramban,Ramban |
Banihal,Banihal |
Batote,Batote |
Kulgam,Kulgam |Kulgam |
Kulgam,Kulgam |
Devsar,Devsar |
Frisal,Frisal |
Yari Pora,Yari Pora |
Bandipora,Bandipora |Bandipora |Bandipore |
Bandipora,Bandipora |
Bandipore,Bandipore |
Hajan,Hajan |
Sumbal,Sumbal |
Samba,Samba |Samba |
Samba,Samba |
Bari Brahamana,Bari Brahamana |
Ramgarh,Ramgarh |
Vijay Pur,Vijay Pur |
Shopian,Shopian |Shopian |Shupiyan |
Shopian,Shopian |
Shupiyan,Shupiyan |
Ganderbal,Ganderbal |Ganderbal |
Ganderbal,Ganderbal |
Reasi,Reasi |Reasi |
Reasi,Reasi |
Katra,Katra |
Himachal Pradesh,Himachal Pradesh |Trigarta |Dev Bhoomi |Himachal |
Bilaspur,Bilaspur |Bilaspur |
Bilaspur,Bilaspur |
Bhakra,Bhakra |
Ghumarwin,Ghumarwin |
Naina Devi,Naina Devi |
Talai,Talai |
Chamba,Chamba |Chamba |
Chamba,Chamba |
Bhatiyat,Bhatiyat |
Chuari Khas,Chuari Khas |
Dalhousie,Dalhousie |
Dehra,Dehra |
Hamirpur,Hamirpur |Hamirpur |
Hamirpur,Hamirpur |
Barsar,Barsar |
Bhota,Bhota |
Nadaun,Nadaun |
Tira Sujanpur,Tira Sujanpur |
Kangra,Kangra |Kangra |
Dharamshala,Dharamshala |
Nurpur,Nurpur |
Dharmsala,Dharmsala |
Jawalamukhi,Jawalamukhi |
Kangra,Kangra |
Nagrota Bagwan,Nagrota Bagwan |
Palampur,Palampur |
Kinnaur,Kinnaur |Kinnaur |
Reckong Peo,Reckong Peo |
Nichar,Nichar |
Kullu,Kullu |Kullu |
Kullu,Kullu |
Naggar,Naggar |
Banjar,Banjar |
Bhuntar,Bhuntar |
Manali,Manali |
Lahul And Spiti,Lahul And Spiti |Lahaul |
Keylong,Keylong |
Spiti,Spiti |
Mandi,Mandi |Mandi |
Mandi,Mandi |
Karsog,Karsog |
Jawali,Jawali |
Jogindarnagar,Jogindarnagar |
Nerchowk,Nerchowk |
Rawalsar,Rawalsar |
Sarkaghat,Sarkaghat |
Sundarnagar,Sundarnagar |
Shimla,Shimla |Shimla |
Shimla,Shimla |
Chail,Chail |
Chaupal,Chaupal |
Jubbal,Jubbal |
Kotkhai,Kotkhai |
Narkanda,Narkanda |
Rampur,Rampur |
Rohru,Rohru |
Seoni,Seoni |
Theog,Theog |
Sirmaur,Sirmaur |Sirmour |
Nahan,Nahan |
Shillai,Shillai |
Paonta Sahib,Paonta Sahib |
Rajgarh,Rajgarh |
Solan,Solan |Solan |
Solan,Solan |
Kasauli,Kasauli |
Arki,Arki |
Baddi,Baddi |
Nalagarh,Nalagarh |
Parwanoo,Parwanoo |
Una,Una |Una |
Una,Una |
Haroli,Haroli |
Daulatpur,Daulatpur |
Gagret,Gagret |
Mehatpur Basdehra,Mehatpur Basdehra |
Santokhgarh,Santokhgarh |
Tahliwal,Tahliwal |
Punjab,Punjab |Union Territory of Chandigarh |Panjab |Saptha Sindhu |
Amritsar,Amritsar |Amritsar |Amristar |
Amritsar,Amritsar |
Rayya,Rayya |
Ajnala,Ajnala |
Jandiala,Jandiala |
Majitha,Majitha |
Raja Sansi,Raja Sansi |
Ramdas,Ramdas |
Rampura,Rampura |
Bathinda,Bathinda |Bathinda |
Bathinda,Bathinda |
Talwandi Sabo,Talwandi Sabo |
Bhagta Bhai Ka,Bhagta Bhai Ka |
Bhairupa,Bhairupa |
Bhucho Mandi,Bhucho Mandi |
Chaukey,Chaukey |
Goniana,Goniana |
Kot Fatta,Kot Fatta |
Kot Shamir,Kot Shamir |
Kotha Guru,Kotha Guru |
Lehra Mohabbat,Lehra Mohabbat |
Maluka,Maluka |
Mandi Kalan,Mandi Kalan |
Maur,Maur |
Nathana,Nathana |
Raman,Raman |
Rampura Phul,Rampura Phul |
Sangat,Sangat |
Faridkot,Faridkot |Faridkot |
Faridkot,Faridkot |
Bhagta Bhaika,Bhagta Bhaika |
Jaitu,Jaitu |
Kot Kapura,Kot Kapura |
Fatehgarh Sahib,Fatehgarh Sahib |Fatehgarh Sahib |Fathegarh Sahib |
Sirhind,Sirhind |
Mandi Gobindgarh,Mandi Gobindgarh |
Fatehgarh Sahib,Fatehgarh Sahib |
Amloh,Amloh |
Bassi Pathana,Bassi Pathana |
Gobindgarh,Gobindgarh |
Khamanon,Khamanon |
Sirhind Fatehgarh Sahib,Sirhind Fatehgarh Sahib |
Firozepur,Firozepur |Firozepur |Firozpur |
Firozepur,Firozepur |
Talwandi Bhai,Talwandi Bhai |
Abohar,Abohar |
Arniwala Shekhsuban,Arniwala Shekhsuban |
Fazilka,Fazilka |
Firozpur,Firozpur |
Guru Har Sahai,Guru Har Sahai |
Jalalabad,Jalalabad |
Makhu,Makhu |
Mallanwala Khass,Mallanwala Khass |
Mamdot,Mamdot |
Mehraj,Mehraj |
Mudki,Mudki |
Zira,Zira |
Gurdaspur,Gurdaspur |Gurdaspur |
Gurdaspur,Gurdaspur |
Dera Baba Nanak,Dera Baba Nanak |
Batala,Batala |
Dhariwal,Dhariwal |
Dina Nagar,Dina Nagar |
Fatehgarh Churian,Fatehgarh Churian |
Nadala,Nadala |
Pathankot,Pathankot |
Qadian,Qadian |
Sri Hargobindpur,Sri Hargobindpur |
Sujanpur,Sujanpur |
Hoshiarpur,Hoshiarpur |Hoshiarpur |
Hoshiarpur,Hoshiarpur |
Garhshankar,Garhshankar |
Dasua,Dasua |
Gardhiwala,Gardhiwala |
Hariana,Hariana |
Mahilpur,Mahilpur |
Mehatpur,Mehatpur |
Mukerian,Mukerian |
Sham Chaurasi,Sham Chaurasi |
Talwara,Talwara |
Urmar Tanda,Urmar Tanda |
Jalandhar,Jalandhar |Jalandhar |
Jalandhar,Jalandhar |
Phillaur,Phillaur |
Adampur,Adampur |
Alawalpur,Alawalpur |
Bhogpur,Bhogpur |
Bilga,Bilga |
Goraya,Goraya |
Kartarpur,Kartarpur |
Lohian Khass,Lohian Khass |
Nakodar,Nakodar |
Nurmahal,Nurmahal |
Shahkot,Shahkot |
Kapurthala,Kapurthala |Kapurthala |
Kapurthala,Kapurthala |
Dhilwan,Dhilwan |
Begowal,Begowal |
Bhulath,Bhulath |
Phagwara,Phagwara |
Sultanpur,Sultanpur |
Ludhiana,Ludhiana |Ludhiana |
Ludhiana,Ludhiana |
Raikot,Raikot |
Doraha,Doraha |
Jagraon,Jagraon |
Khanna,Khanna |
Machhiwara,Machhiwara |
Maloud,Maloud |
Mullanpur Dakha,Mullanpur Dakha |
Payal,Payal |
Sahnewal,Sahnewal |
Samrala,Samrala |
Mansa,Mansa |Mansa |
Mansa,Mansa |
Bhikhi,Bhikhi |
Bareta,Bareta |
Boha,Boha |
Budhlada,Budhlada |
Joga,Joga |
Sardulgarh,Sardulgarh |
Moga,Moga |Moga |
Moga,Moga |
Dharamkot,Dharamkot |
Badhni Kalan,Badhni Kalan |
Bagha Purana,Bagha Purana |
Kot Ise Khan,Kot Ise Khan |
Nihal Singh Wala,Nihal Singh Wala |
Sri Muktsar Sahib,Sri Muktsar Sahib |Muktsar |Mukstar |
Sri Muktsar Sahib,Sri Muktsar Sahib |
Muktsar,Muktsar |
Bariwala,Bariwala |
Gidderbaha,Gidderbaha |
Malout,Malout |
Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar |Nawanshahr |
Nawanshahr,Nawanshahr |
Rahon,Rahon |
Balachaur,Balachaur |
Banga,Banga |
Patiala,Patiala |Patiala |
Patiala,Patiala |
Samana,Samana |
Bhadson,Bhadson |
Ghagga,Ghagga |
Ghanaur,Ghanaur |
Nabha,Nabha |
Patran,Patran |
Rajpura,Rajpura |
Sanaur,Sanaur |
Rupnagar,Rupnagar |Rupnagar |
Rupnagar,Rupnagar |
Chamkaur Sahib,Chamkaur Sahib |
Anandpur Sahib,Anandpur Sahib |
Morinda,Morinda |
Nangal,Nangal |
Sangrur,Sangrur |Sangrur |
Sangrur,Sangrur |
Sunam,Sunam |
Ahmedgarh,Ahmedgarh |
Amargarh,Amargarh |
Bhawanigarh,Bhawanigarh |
Cheema,Cheema |
Dhuri,Dhuri |
Dirba,Dirba |
Khanauri,Khanauri |
Lehragaga,Lehragaga |
Longowal,Longowal |
Malerkotla,Malerkotla |
Moonak,Moonak |
Sunam Udham Singh Wala,Sunam Udham Singh Wala |
Barnala,Barnala |Barnala |
Barnala,Barnala |
Handiaya,Handiaya |
Bhadaur,Bhadaur |
Dhanaula,Dhanaula |
Tapa,Tapa |
Tarn Taran,Tarn Taran |Tarn Taran |
Tarn Taran,Tarn Taran |
Goindwal Sahib,Goindwal Sahib |
Ballianwali,Ballianwali |
Bhikhiwind,Bhikhiwind |
Khem Karan,Khem Karan |
Patti,Patti |
Fazilka,Fazilka |Fazilka |
Fazilka,Fazilka |
Guru Har Sahai,Guru Har Sahai |
Pathankot,Pathankot |Pathankot |
Pathankot,Pathankot |
Mamun,Mamun |
Malerkotla,Malerkotla |Malerkotla |
Malerkotla,Malerkotla |
Dhuri,Dhuri |
Chandigarh,Chandigarh |Tricity |
Chandigarh,Chandigarh |Chandigarh |
Chandigarh,Chandigarh |
Uttarakhand,Uttarakhand |Uttaranchal |
Almora,Almora |Almora |
Almora,Almora |
Binsar,Binsar |
Bhikiyasain,Bhikiyasain |
Dwarahat,Dwarahat |
Ranikhet,Ranikhet |
Bageshwar,Bageshwar |Bageshwar |
Bageshwar,Bageshwar |
Garur,Garur |
Kapkoot,Kapkoot |
Chamoli,Chamoli |Chamoli |
Gopeshwar,Gopeshwar |
Pipalkoti,Pipalkoti |
Badrinathpuri,Badrinathpuri |
Chamoli Gopeshwar,Chamoli Gopeshwar |
Gairsain,Gairsain |
Gochar,Gochar |
Joshimath,Joshimath |
Karnaprayag,Karnaprayag |
Nandprayag,Nandprayag |
Pokhri,Pokhri |
Tharali,Tharali |
Champawat,Champawat |Champawat |
Champawat,Champawat |
Barakot,Barakot |
Banbasa,Banbasa |
Lohaghat,Lohaghat |
Tanakpur,Tanakpur |
Dehradun,Dehradun |Dehradun |
Dehradun,Dehradun |
Vikasnagar,Vikasnagar |
Doiwala,Doiwala |
Herbertpur,Herbertpur |
Mussoorie,Mussoorie |
Rishikesh,Rishikesh |
Selaqui,Selaqui |
Haridwar,Haridwar |Haridwar |Hardwar |
Haridwar,Haridwar |
Jwalapur,Jwalapur |
Bhagwanpur,Bhagwanpur |
Hardwar,Hardwar |
Jhabrera,Jhabrera |
Laksar,Laksar |
Landhaura,Landhaura |
Manglaur,Manglaur |
Piran Kaliyar,Piran Kaliyar |
Roorkee,Roorkee |
Shivalik Nagar,Shivalik Nagar |
Nainital,Nainital |Nainital |
Nainital,Nainital |
Ramnagar,Ramnagar |
Bhimtal,Bhimtal |
Bhowali,Bhowali |
Kaladhungi,Kaladhungi |
Lalkuan,Lalkuan |
Pauri Garhwal,Pauri Garhwal |Pauri |
Pauri,Pauri |
Dugadda,Dugadda |
Dogadda,Dogadda |
Jonk,Jonk |
Kotdwara,Kotdwara |
Satpuli,Satpuli |
Srinagar,Srinagar |
Pithoragarh,Pithoragarh |Pithoragarh |
Pithoragarh,Pithoragarh |
Gangolihat,Gangolihat |
Berinaag,Berinaag |
Dharchula,Dharchula |
Didihat,Didihat |
Gangolihaat,Gangolihaat |
Rudra Prayag,Rudra Prayag |Rudraprayag |
Rudra Prayag,Rudra Prayag |
Guptkashi,Guptkashi |
Augustmuni,Augustmuni |
Devaprayag,Devaprayag |
Kedarnath,Kedarnath |
Rudraprayag,Rudraprayag |
Tilwada,Tilwada |
Ukhimath,Ukhimath |
Tehri Garhwal,Tehri Garhwal |Tehri |
New Tehri,New Tehri |
Narendra Nagar,Narendra Nagar |
Ghansali,Ghansali |
Lamgaun,Lamgaun |
Chamba,Chamba |
Chamiyala,Chamiyala |
Gaja,Gaja |
Kirtinagar,Kirtinagar |
Muni Ki Reti,Muni Ki Reti |
Narendranagar,Narendranagar |
Tehri,Tehri |
Udam Singh Nagar,Udam Singh Nagar |Udham Singh Nagar |
Rudrapur,Rudrapur |
Bajpur,Bajpur |
Dineshpur,Dineshpur |
Gadarpur,Gadarpur |
Gulbhoj,Gulbhoj |
Jaspur,Jaspur |
Kashipur,Kashipur |
Kela Khera,Kela Khera |
Khatima,Khatima |
Kichha,Kichha |
Mahua Dabra Haripura,Mahua Dabra Haripura |
Mahua Kheraganj,Mahua Kheraganj |
Nanakmatta,Nanakmatta |
Shaktigarh,Shaktigarh |
Sitarganj,Sitarganj |
Sultanpur,Sultanpur |
Uttar Kashi,Uttar Kashi |Uttarkashi |
Uttarkashi,Uttarkashi |
Purola,Purola |
Barkot,Barkot |
Chiniyalisaun,Chiniyalisaun |
Gangotri,Gangotri |
Naugaun,Naugaun |
Haryana,Haryana |Aryavarta |
Ambala,Ambala |Ambala |
Ambala,Ambala |
Shahzadpur,Shahzadpur |
Barara,Barara |
Naraingarh,Naraingarh |
Bhiwani,Bhiwani |Bhiwani |
Bhiwani,Bhiwani |
Tosham,Tosham |
Bawani khera,Bawani khera |
Charkhi Dadri,Charkhi Dadri |
Loharu,Loharu |
Siwani,Siwani |
Faridabad,Faridabad |Faridabad |
Faridabad,Faridabad |
Hathin,Hathin |
Fatehabad,Fatehabad |Fatehabad |
Fatehabad,Fatehabad |
Bhuna,Bhuna |
Ratia,Ratia |
Tohana,Tohana |
Gurugram,Gurugram |Gurugram |Gurgaon |
Gurugram,Gurugram |
Farrukhnagar,Farrukhnagar |
Gurgaon,Gurgaon |
Hailey Mandi,Hailey Mandi |
Pataudi,Pataudi |
Sohna,Sohna |
Hisar,Hisar |Hisar |
Hisar,Hisar |
Adampur,Adampur |
Barwala,Barwala |
Hansi,Hansi |
Narnaund,Narnaund |
Uklana Mandi,Uklana Mandi |
Jhajjar,Jhajjar |Jhajjar |
Jhajjar,Jhajjar |
Beri,Beri |
Bahadurgarh,Bahadurgarh |
Jind,Jind |Jind |
Jind,Jind |
Narwana,Narwana |
Julana,Julana |
Safidon,Safidon |
Uchana,Uchana |
Kaithal,Kaithal |Kaithal |
Kaithal,Kaithal |
Guhla,Guhla |
Cheeka,Cheeka |
Kalayat,Kalayat |
Pundri,Pundri |
Rajound,Rajound |
Karnal,Karnal |Karnal |
Karnal,Karnal |
Indri,Indri |
Assandh,Assandh |
Gharaunda,Gharaunda |
Nilokheri,Nilokheri |
Nissing,Nissing |
Taraori,Taraori |
Kurukshetra,Kurukshetra |Kurukshetra |
Kurukshetra,Kurukshetra |
Pehowa,Pehowa |
Ladwa,Ladwa |
Shahbad,Shahbad |
Thanesar,Thanesar |
Mahendragarh,Mahendragarh |Mahendragarh |
Narnaul,Narnaul |
Ateli,Ateli |
Kanina,Kanina |
Mahendragarh,Mahendragarh |
Nagal Chaudhry,Nagal Chaudhry |
Panchkula,Panchkula |Panchkula |
Panchkula,Panchkula |
Barwala,Barwala |
Panipat,Panipat |Panipat |
Panipat,Panipat |
Madlauda,Madlauda |
Samalkha,Samalkha |
Rewari,Rewari |Rewari |
Rewari,Rewari |
Dharuhera,Dharuhera |
Bawal,Bawal |
Rohtak,Rohtak |Rohtak |
Rohtak,Rohtak |
Kalanaur,Kalanaur |
Maham,Maham |
Sampla,Sampla |
Sirsa,Sirsa |Sirsa |
Sirsa,Sirsa |
Rania,Rania |
Ellenabad,Ellenabad |
Kalanwali,Kalanwali |
Mandi Dabwali,Mandi Dabwali |
Sonipat,Sonipat |Sonipat |
Sonipat,Sonipat |
Rai,Rai |
Ganaur,Ganaur |
Gohana,Gohana |
Kharkhoda,Kharkhoda |
Yamunanagar,Yamunanagar |Yamunanagar |
Yamunanagar,Yamunanagar |
Bilaspur,Bilaspur |
Radaur,Radaur |
Nuh,Nuh |Nuh |Mewat |
Nuh,Nuh |
Nagina,Nagina |
Ferozepur jhirka,Ferozepur jhirka |
Punahana,Punahana |
Taoru,Taoru |
Palwal,Palwal |Palwal |
Palwal,Palwal |
Hassanpur,Hassanpur |
Hathin,Hathin |
Hodal,Hodal |
Charki Dadri,Charki Dadri |Charkhi Dadri |
Charki Dadri,Charki Dadri |
Dadri,Dadri |
Delhi,Delhi |National Capital Territory of Delhi |Dilli |NCT |New Delhi |Indraparastha |
Central,Central |Old Delhi |
Chandni Chowk,Chandni Chowk |
Paharganj,Paharganj |
East,East |East Delhi |
Preet Vihar,Preet Vihar |
Shahdara,Shahdara |
East Delhi MCD,East Delhi MCD |
New Delhi,New Delhi |New Delhi |
Connaught Place,Connaught Place |
Pragati Maidan,Pragati Maidan |
NDMC,NDMC |
North,North |North Delhi |
Civil Lines,Civil Lines |
Timarpur,Timarpur |
North Delhi MCD,North Delhi MCD |
North East,North East |North East Delhi |
Yamuna Vihar,Yamuna Vihar |
Vivek Vihar,Vivek Vihar |
North West,North West |North West Delhi |
Rohini,Rohini |
Ashok Vihar,Ashok Vihar |
South,South |South Delhi |
Hauz Khas,Hauz Khas |
Greater Kailash,Greater Kailash |
South Delhi MCD,South Delhi MCD |
South West,South West |South West Delhi |
Dwarka,Dwarka |
Dhaula Kuan,Dhaula Kuan |
Delhi Cantonment,Delhi Cantonment |
West,West |West Delhi |
Rajouri Garden,Rajouri Garden |
Tilak Nagar,Tilak Nagar |
South East,South East |South East Delhi |
Sarita Vihar,Sarita Vihar |
Jasola,Jasola |
Shahdara,Shahdara |Shahdara |
Shahdara,Shahdara |
Vivek Vihar,Vivek Vihar |
Rajasthan,Rajasthan |The Desert State |
Ajmer,Ajmer |Ajmer |
Ajmer,Ajmer |
Beawar,Beawar |
Kekri,Kekri |
Kishangarh,Kishangarh |
Nasirabad,Nasirabad |
Pushkar,Pushkar |
Sarwar,Sarwar |
Vijainagar,Vijainagar |
Alwar,Alwar |Alwar |
Alwar,Alwar |
Behror,Behror |
Bhiwadi,Bhiwadi |
Khairthal,Khairthal |
Kherli,Kherli |
Kishangarh Bas,Kishangarh Bas |
Rajgarh,Rajgarh |
Tijara,Tijara |
Banswara,Banswara |Banswara |
Banswara,Banswara |
Kushalgarh,Kushalgarh |
Baran,Baran |Baran |
Baran,Baran |
Antah,Antah |
Chhabra,Chhabra |
Mangrol,Mangrol |
Barmer,Barmer |Barmer |
Barmer,Barmer |
Balotra,Balotra |
Bharatpur,Bharatpur |Bharatpur |
Bharatpur,Bharatpur |
Bayana,Bayana |
Bhusawar,Bhusawar |
Deeg,Deeg |
Kaman,Kaman |
Kumher,Kumher |
Nadbai,Nadbai |
Nagar,Nagar |
Roop Bas,Roop Bas |
Weir,Weir |
Bhilwara,Bhilwara |Bhilwara |
Bhilwara,Bhilwara |
Asind,Asind |
Gangapur,Gangapur |
Gulabpura,Gulabpura |
Jahazpur,Jahazpur |
Mandalgarh,Mandalgarh |
Shahpura,Shahpura |
Bikaner,Bikaner |Bikaner |
Bikaner,Bikaner |
Deshnoke,Deshnoke |
Dungargarh,Dungargarh |
Nokha,Nokha |
Bundi,Bundi |Bundi |
Bundi,Bundi |
Indragarh,Indragarh |
Kaprain,Kaprain |
Keshoraipatan,Keshoraipatan |
Lakheri,Lakheri |
Nainwa,Nainwa |
Chittorgarh,Chittorgarh |Chittorgarh |Chittaurgarh |
Chittorgarh,Chittorgarh |
Bari Sadri,Bari Sadri |
Begun,Begun |
Chittaurgarh,Chittaurgarh |
Kapasan,Kapasan |
Nimbahera,Nimbahera |
Rawatbhata,Rawatbhata |
Churu,Churu |Churu |
Churu,Churu |
Bidasar,Bidasar |
Chhapar,Chhapar |
Rajaldesar,Rajaldesar |
Rajgarh,Rajgarh |
Ratangarh,Ratangarh |
Ratannagar,Ratannagar |
Sardarshahar,Sardarshahar |
Sujangarh,Sujangarh |
Taranagar,Taranagar |
Dausa,Dausa |Dausa |
Dausa,Dausa |
Bandikui,Bandikui |
Lalsot,Lalsot |
Mahwa,Mahwa |
Dholpur,Dholpur |Dholpur |Dhaulpur |
Dholpur,Dholpur |
Bari,Bari |
Dhaulpur,Dhaulpur |
Rajakhera,Rajakhera |
Dungarpur,Dungarpur |Dungarpur |
Dungarpur,Dungarpur |
Sagwara,Sagwara |
Ganganagar,Ganganagar |Ganganagar |
Ganganagar,Ganganagar |
Anupgarh,Anupgarh |
Gajsinghpur,Gajsinghpur |
Karanpur,Karanpur |
Kesrisinghpur,Kesrisinghpur |
Padampur,Padampur |
Raisinghnagar,Raisinghnagar |
Sadulshahar,Sadulshahar |
Suratgarh,Suratgarh |
Vijainagar,Vijainagar |
Hanumangarh,Hanumangarh |Hanumangarh |
Hanumangarh,Hanumangarh |
Bhadra,Bhadra |
Nohar,Nohar |
Pilibanga,Pilibanga |
Rawatsar,Rawatsar |
Sangaria,Sangaria |
Jaipur,Jaipur |Jaipur |
Jaipur,Jaipur |
Bagru,Bagru |
Chaksu,Chaksu |
Chomu,Chomu |
Jobner,Jobner |
Kishangarh Renwal,Kishangarh Renwal |
Kotputli,Kotputli |
Phulera,Phulera |
Sambhar,Sambhar |
Shahpura,Shahpura |
Viratnagar,Viratnagar |
Jaisalmer,Jaisalmer |Jaisalmer |
Jaisalmer,Jaisalmer |
Pokaran,Pokaran |
Jalore,Jalore |Jalore |Jalor |
Jalore,Jalore |
Bhinmal,Bhinmal |
Jalor,Jalor |
Sanchore,Sanchore |
Jhalawar,Jhalawar |Jhalawar |
Jhalawar,Jhalawar |
Aklera,Aklera |
Bhawani Mandi,Bhawani Mandi |
Jhalrapatan,Jhalrapatan |
Pirawa,Pirawa |
Jhunjhunu,Jhunjhunu |Jhunjhunu |Jhunjhunun |
Jhunjhunu,Jhunjhunu |
Baggar,Baggar |
Bissau,Bissau |
Chirawa,Chirawa |
Jhunjhunun,Jhunjhunun |
Khetri,Khetri |
Mandawa,Mandawa |
Mukandgarh,Mukandgarh |
Nawalgarh,Nawalgarh |
Pilani,Pilani |
Surajgarh,Surajgarh |
Udaipurwati,Udaipurwati |
Vidyavihar,Vidyavihar |
Jodhpur,Jodhpur |Jodhpur |
Jodhpur,Jodhpur |
Bilara,Bilara |
Phalodi,Phalodi |
Pipar City,Pipar City |
Karauli,Karauli |Karauli |
Karauli,Karauli |
Hindaun,Hindaun |
Todabhim,Todabhim |
Kota,Kota |Kota |
Kota,Kota |
Itawa,Itawa |
Kaithoon,Kaithoon |
Ramganj Mandi,Ramganj Mandi |
Sangod,Sangod |
Nagaur,Nagaur |Nagaur |
Nagaur,Nagaur |
Degana,Degana |
Didwana,Didwana |
Kuchaman City,Kuchaman City |
Kuchera,Kuchera |
Ladnu,Ladnu |
Makrana,Makrana |
Merta City,Merta City |
Mundwa,Mundwa |
Nawa,Nawa |
Parbatsar,Parbatsar |
Pali,Pali |Pali |
Pali,Pali |
Bali,Bali |
Falna,Falna |
Jaitaran,Jaitaran |
Rani,Rani |
Sadri,Sadri |
Sojat,Sojat |
Sumerpur,Sumerpur |
Takhatgarh,Takhatgarh |
Rajsamand,Rajsamand |Rajsamand |
Rajsamand,Rajsamand |
Amet,Amet |
Deogarh,Deogarh |
Nathdwara,Nathdwara |
Sawai Madhopur,Sawai Madhopur |Sawai Madhopur |
Sawai Madhopur,Sawai Madhopur |
Gangapur City,Gangapur City |
Sikar,Sikar |Sikar |
Sikar,Sikar |
Fatehpur,Fatehpur |
Khandela,Khandela |
Lachhmangarh,Lachhmangarh |
Losal,Losal |
Ramgarh,Ramgarh |
Reengus,Reengus |
Sri Madhopur,Sri Madhopur |
Sirohi,Sirohi |Sirohi |
Sirohi,Sirohi |
Abu Road,Abu Road |
Mount Abu,Mount Abu |
Pindwara,Pindwara |
Sheoganj,Sheoganj |
Tonk,Tonk |Tonk |
Tonk,Tonk |
Deoli,Deoli |
Malpura,Malpura |
Niwai,Niwai |
Todaraisingh,Todaraisingh |
Uniara,Uniara |
Udaipur,Udaipur |Udaipur |
Udaipur,Udaipur |
Bhinder,Bhinder |
Fatehnagar,Fatehnagar |
Kanor,Kanor |
Salumbar,Salumbar |
Pratapgarh,Pratapgarh |Pratapgarh |
Pratapgarh,Pratapgarh |
Chhoti Sadri,Chhoti Sadri |
Uttar Pradesh,Uttar Pradesh |
Agra,Agra |Agra |
Agra,Agra |
Bah,Bah |
Etmadpur,Etmadpur |
Pinahat,Pinahat |
Jagner,Jagner |
Achhnera,Achhnera |
Dayalbagh,Dayalbagh |
Fatehabad,Fatehabad |
Fatehpur Sikri,Fatehpur Sikri |
Kheragarh,Kheragarh |
Kiraoali,Kiraoali |
Shamsabad,Shamsabad |
Swamibagh,Swamibagh |
Aligarh,Aligarh |Aligarh |
Aligarh,Aligarh |
Harduaganj,Harduaganj |
Iglas,Iglas |
Gabhana,Gabhana |
Koil,Koil |
Jawan,Jawan |
Atrauli,Atrauli |
Beswan,Beswan |
Chharra Rafatpur,Chharra Rafatpur |
Jalali,Jalali |
Jatari,Jatari |
Kauriaganj,Kauriaganj |
Khair,Khair |
Pilkhana,Pilkhana |
Vijaigarh,Vijaigarh |
Prayagraj,Prayagraj |Prayagraj |Allahabad |
Prayagraj,Prayagraj |
Handia,Handia |
Bara,Bara |
Meja,Meja |
Shankargarh,Shankargarh |
Soraon,Soraon |
Allahabad,Allahabad |
Bharatganj,Bharatganj |
Jhusi,Jhusi |
Koraon,Koraon |
Lal Gopalganj Nindaura,Lal Gopalganj Nindaura |
Mau Aima,Mau Aima |
Phulpur,Phulpur |
Sirsa,Sirsa |
